Adresas,floor,total_floor_num,rent_price,room_num,year_full,house_type,area,heating,year,year_renovation,top_floor,oldtown,district
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-piromonto-g-nuo-gruodzio-14-d-sviesus-jaukus-naujos-4-908127/,2.0,7.0,420,1.0,2018,Monolitinis,30.0,Centrinis kolektorinis,2018,,0,0.0,snipiskese
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-be-tarpininko-tarpininku-prasau-neskambinti-4-950413/,9.0,11.0,550,2.0,2010,Monolitinis,43.0,Centrinis kolektorinis,2010,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-tarandeje-tarandes-g-naujai-irengtas-labai-sviesus-2-kambariu-4-950381/,1.0,4.0,420,2.0,2019,Mūrinis,48.0,Dujinis,2019,,0,0.0,tarandeje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-isplanavimas-du-izoliuoti-kambariai-atskira-4-950357/,5.0,5.0,270,2.0,1964,Blokinis,48.0,Centrinis,1964,,1,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-mikalojaus-g-yra-ir-daugiau-butu-kreiptis-tel-868746063-4-950299/,2.0,3.0,870,2.0,2016,Mūrinis,62.0,"Elektra, dujinis",2016,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-trinapolio-g-nuomojamas-be-tarpininku-sviesus-ir-patogiai-4-728889/,11.0,11.0,450,2.0,2008,Monolitinis,40.0,Centrinis kolektorinis,2008,,1,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-tilto-g-isnuomojamas-tvarkingas-jaukiai-stilingai-4-903153/,1.0,5.0,650,2.0,1940,Mūrinis,31.87,"Centrinis, elektra",1940,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-lazdyneliu-g-be-tarpininku-nuo-gruodzio-1-d-butas-naujai-4-949689/,3.0,4.0,550,2.0,2019,Mūrinis,48.0,Centrinis kolektorinis,2019,,0,0.0,lazdyneliuose
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-dociskiu-g--nuomojamas-pilnai-irengtas-butas-kuriame-4-952735/,3.0,6.0,480,2.0,2010,Mūrinis,54.0,Centrinis kolektorinis,2010,,0,0.0,pasilaiciuose
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-vytauto-zalakeviciaus-g-3-k-irengtas-butas-2-atskiri-miegamieji-4-662535/,5.0,6.0,580,3.0,2015,Mūrinis,61.0,Centrinis,2015,,0,0.0,antakalnyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-lusiu-g-isnuomojamas-butas-su-didziule-terasa-viename-4-951967/,1.0,4.0,620,2.0,"2002 statyba, 2017 renovacija",Mūrinis,62.0,Dujinis,2002,2017.0,0,0.0,zveryne
https://www.aruodas.lt/butu-nuoma-vilniuje-bajoruose-fiziku-g-strategiskai-patogioje-vietoje-bajoruose-4-951907/,7.0,7.0,400,2.0,2008,Mūrinis,50.0,Centrinis kolektorinis,2008,,1,0.0,bajoruose
https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-laisves-pr-isnuomojamas-jaukus-vieno-kambario-butas-su-4-951787/,2.0,5.0,250,1.0,1980,Blokinis,35.28,Centrinis,1980,,0,0.0,seskineje
https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-vido-maciuleviciaus-g-nuomojamas-tvarkingas-1-as-kambarys-2-iu-4-951563/,1.0,5.0,180,1.0,1983,Mūrinis,50.0,Centrinis,1983,,0,0.0,karoliniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-s-zukausko-g-isnuomojamas-2-kambariu-butas-siaures-4-951359/,4.0,8.0,450,2.0,2004,Mūrinis,44.0,Centrinis kolektorinis,2004,,0,0.0,siaures-miestelyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojamas-2-kambariu-butas-senamiesy-sv-4-951353/,3.0,4.0,450,2.0,2007,Mūrinis,50.0,Centrinis kolektorinis,2007,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-zirmunu-g-zirmunuose-renovuotame-name-4-950881/,3.0,5.0,200,1.0,"1980 statyba, 2014 renovacija",Blokinis,30.0,Centrinis,1980,2014.0,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-j-kubiliaus-g-be-tarpininku-isnuomojamas-tvarkingas-4-719979/,2.0,7.0,460,2.0,2006,Mūrinis,51.0,Centrinis,2006,,0,0.0,siaures-miestelyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-zemaites-g-butas-bus-laisvas-nuo-2020-sausio-1-d-4-915311/,2.0,9.0,500,2.0,2017,Mūrinis,45.0,Centrinis kolektorinis,2017,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-raitininku-g-isnuomojamas-naujai-irengtas-erdvus-bei-4-950569/,5.0,6.0,650,2.0,2006,Mūrinis,57.51,Centrinis kolektorinis,2006,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-kazimiero-ladygos-g-isnuomojamas-sviesus-siltas-jaukus-butas-4-950497/,2.0,8.0,390,1.0,2002,Mūrinis,41.0,Centrinis kolektorinis,2002,,0,0.0,siaures-miestelyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zemuosiuose-paneriuose-vaduvos-g-nuomojamas-1-kambario-butas-vaduvos-g-4-950453/,5.0,9.0,240,1.0,1989,Mūrinis,31.0,Centrinis,1989,,0,0.0,zemuosiuose-paneriuose
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-renovuotame-name-zirmunuose-isnuomojamas-4-952535/,3.0,5.0,400,3.0,"1965 statyba, 2015 renovacija",Mūrinis,61.0,Centrinis,1965,2015.0,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-bajoruose-mokslininku-g-naujajame-bajoru-kvartale-mokslininku-g-4-951643/,2.0,3.0,550,2.0,2005,Mūrinis,56.0,Centrinis kolektorinis,2005,,0,0.0,bajoruose
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-visiskai-naujas-pagal-isskirtini-dizaina-4-950651/,9.0,9.0,474,2.0,2017,Mūrinis,39.0,Centrinis kolektorinis,2017,,1,0.0,fabijoniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-jeruzaleje-rugiu-g-isnuomojamas-3-kambariu-72-kvm-butas-4-949583/,5.0,5.0,500,3.0,2000,Mūrinis,72.0,Dujinis,2000,,1,0.0,jeruzaleje
https://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-sroves-g-nuomojamas-erdvus-dvieju-kambariu-butas-4-952327/,3.0,3.0,480,2.0,2002,Mūrinis,52.3,Dujinis,2002,,1,0.0,uzupyje
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-dociskiu-g-nuomojame-dvieju-kambariu-buta-su-atskiru-4-951077/,1.0,5.0,430,2.0,2008,Mūrinis,62.0,Centrinis kolektorinis,2008,,0,0.0,pasilaiciuose
https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-loretos-asanaviciutes-g-karoliniskese-l-asanaviciutes-g-4-951387/,10.0,12.0,355,2.0,1973,Blokinis,48.2,Centrinis,1973,,0,0.0,karoliniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-vytauto-g-nera-agenturos-mokescio-butas-nuomojamas-su-4-952197/,1.0,2.0,430,3.0,"1950 statyba, 2005 renovacija",Medinis,80.0,Dujinis,1950,2005.0,0,0.0,zveryne
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-isnuomojamas-tvarkingas-suremontuotas-1-4-911357/,8.0,9.0,300,1.0,1965,Blokinis,30.0,Centrinis,1965,,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-jasinskio-g-isnuomojamas-3-kambariu-butas-tarp-4-952333/,3.0,3.0,800,3.0,1939,Mūrinis,74.0,Centrinis,1939,,1,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-kalvariju-g-naujai-irengtas-1-k-butas-mini-loft-town-4-951159/,2.0,3.0,285,1.0,2015,Mūrinis,21.0,Elektra,2015,,0,0.0,siaures-miestelyje
https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-seskines-g-grazus-ir-tvarkingas-1-kambario-butas-4-951283/,2.0,5.0,290,1.0,1985,Blokinis,36.0,Centrinis,1985,,0,0.0,seskineje
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-nuomojamas-2-kambariu-47-kvm-butas-4-952339/,2.0,5.0,400,2.0,"1971 statyba, 2014 renovacija",Blokinis,47.0,Centrinis,1971,2014.0,0,0.0,lazdynuose
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-karaliauciaus-g-naujos-statybos-2-k-butas-pilaiteje-4-951975/,4.0,5.0,450,2.0,2016,Mūrinis,50.0,Centrinis kolektorinis,2016,,0,0.0,pilaiteje
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-pienines-g-nuomojamas-2-kamb-butas-vilniuje-zverynas-4-950765/,1.0,5.0,480,2.0,2019,Mūrinis,35.0,Centrinis kolektorinis,2019,,0,0.0,zveryne
https://www.aruodas.lt/butu-nuoma-vilniuje-justiniskese-taikos-g-nuomojamas-2-kamb-butas-vilniuje-4-952171/,5.0,5.0,400,2.0,1980,Blokinis,45.0,Centrinis,1980,,1,0.0,justiniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-elbingo-g-nuomojamas-2-kamb-butas-vilniuje-pilaiteje-4-952527/,4.0,4.0,470,2.0,2017,Mūrinis,49.0,Centrinis kolektorinis,2017,,1,0.0,pilaiteje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-saltkalviu-g-tvarkingas-siltas-ir-jaukus-butas-ramioje-4-951317/,2.0,5.0,219,1.0,1980,Mūrinis,22.0,Centrinis,1980,,0,0.0,naujininkuose
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-1-kamb-butas-vilniuje-snipiskes-4-952569/,1.0,1.0,250,1.0,1970,Medinis,25.0,Centrinis,1970,,1,0.0,snipiskese
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-birzelio-23-iosios-g-naujo-buto-nuoma-naujamiestyje-1-vieno-4-951345/,4.0,5.0,490,1.0,2019,Mūrinis,35.0,Kita,2019,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-nuomojamas-studio-tipo-butas-fabijoniskese-4-951897/,1.0,9.0,350,1.0,2017,Mūrinis,34.0,Centrinis kolektorinis,2017,,0,0.0,fabijoniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-be-tarpininku-labai-patogioje-zirmunu-4-945795/,1.0,5.0,340,1.0,1980,Blokinis,33.0,Centrinis,1980,,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sporto-g-nuomojamas-erdvus-itin-sviesus-butas-sporto-4-952371/,4.0,6.0,700,2.0,2003,Mūrinis,68.0,Dujinis,2003,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-zemynos-g--skelbimo-aprasyme-esantis-id-9901-4-952355/,2.0,5.0,370,3.0,1986,Blokinis,68.0,Centrinis,1986,,0,0.0,pasilaiciuose
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-nuomojamas-tvarkingas-sviesus-1-kambario-4-951817/,1.0,5.0,250,1.0,1968,Mūrinis,25.0,Centrinis,1968,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-justiniskese-justiniskiu-g-nuomojamas-1-kamb-butas-vilniuje-4-952473/,3.0,5.0,370,1.0,2018,Mūrinis,35.0,Centrinis kolektorinis,2018,,0,0.0,justiniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojamas-jaukus-suremontuotas-ekonomiskas-4-952459/,2.0,3.0,450,2.0,1972,Mūrinis,42.0,Centrinis,1972,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-juozapaviciaus-g-imone-isnuomoja-kokybiskai-ir-stilingai-4-952731/,5.0,6.0,680,2.0,2008,Mūrinis,59.0,"Centrinis kolektorinis, kita",2008,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-juozapaviciaus-g-imone-isnuomoja-2-k-60-kvm-buta-centre-a-4-952705/,5.0,6.0,680,2.0,2008,Mūrinis,60.0,Centrinis kolektorinis,2008,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-pasilaiciu-g-nuomojamas-erdvus-naujai-suremontuotas-triju-4-952717/,2.0,3.0,550,3.0,1990,Blokinis,82.0,Centrinis,1990,,0,0.0,pasilaiciuose
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-jaukus-modernus-3-kambariu-butas-netoli-4-952715/,2.0,5.0,670,3.0,2015,Mūrinis,65.0,Centrinis kolektorinis,2015,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-naugarduko-g-ramioje-vietoje-naujamiesti-naugarduko-g-4-952713/,5.0,5.0,360,2.0,1976,Blokinis,47.0,Centrinis,1976,,1,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-m-k-ciurlionio-g-isnuomojamas-2-k-58-kvm-bendro-ploto-4-952703/,3.0,5.0,850,2.0,2017,Mūrinis,58.0,Centrinis kolektorinis,2017,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-santariskiu-g-nuomojamas-neseniai-irengtas-modernus-butas-4-952695/,2.0,3.0,480,2.0,2007,Blokinis,40.32,Centrinis kolektorinis,2007,,0,0.0,santariskese
https://www.aruodas.lt/butu-nuoma-vilniuje-justiniskese-taikos-g-nuomojamas-3-kamb-butas-taikos-g-vilniuje-4-952689/,5.0,9.0,400,3.0,1983,Blokinis,66.28,Centrinis,1983,,0,0.0,justiniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-ateities-g-nuomojamas-jaukus-dvieju-kambariu-butas-4-952685/,1.0,6.0,489,2.0,2005,Mūrinis,65.0,Dujinis,2005,,0,0.0,fabijoniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-valakampiuose-elniakampio-g-erdvus-ir-stilingas-butas-valakampiuose-su-4-952669/,1.0,3.0,850,3.0,2001,Mūrinis,85.0,"Centrinis kolektorinis, kita",2001,,0,0.0,valakampiuose
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-juridinis-asmuo-isnuomoja-puikiai-irengtus-4-952667/,4.0,5.0,1450,3.0,2017,Mūrinis,88.0,"Centrinis kolektorinis, kita",2017,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-priegliaus-g-isnuomojamas-jaukus-ir-tvarkingas-butas-4-952665/,7.0,9.0,320,1.0,2013,Mūrinis,32.0,Centrinis kolektorinis,2013,,0,0.0,pilaiteje
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-nuomojamas-sviesus-ka-tik-po-atlikto-4-952663/,7.0,9.0,280,2.0,1978,Blokinis,55.0,Centrinis,1978,,0,0.0,lazdynuose
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-m-valanciaus-g-nuomojamas-kambarys-isskirtineje-vilniaus-4-952661/,1.0,4.0,300,1.0,1959,Mūrinis,20.0,Centrinis,1959,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-m-valanciaus-g-nuomojami-kambariai-studentams-isskirtineje-4-952659/,1.0,4.0,250,1.0,1959,Mūrinis,20.0,Centrinis,1959,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-m-k-ciurlionio-g-isnuomojamas-2-kambariu-40-kvm-butas-4-952653/,3.0,5.0,550,2.0,2014,Mūrinis,40.0,Centrinis kolektorinis,2014,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-kauno-g-lofto-nuoma-naujamiestyje-1-kambario-su-4-952647/,1.0,4.0,399,1.0,2016,Mūrinis,30.0,Elektra,2016,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-kauno-g-be-tarpininku-labai-gera-kaina-nuomojamas-4-946339/,1.0,4.0,398,1.0,2015,Mūrinis,30.0,Elektra,2015,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-nemezio-k-labai-ramioje-vietoje-nemezi-statybininku-g-4-952637/,3.0,4.0,300,1.0,1992,Blokinis,37.0,Centrinis,1992,,0,0.0,0
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-butas-kartu-su-atskira-parkavimo-vieta-4-952631/,7.0,9.0,400,2.0,2010,Mūrinis,46.0,Centrinis kolektorinis,2010,,0,0.0,pasilaiciuose
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vasario-16-osios-g-nuomojame-dvieju-kambariu-buta-senamiestyje-4-952629/,4.0,5.0,550,2.0,1940,Mūrinis,58.0,Centrinis,1940,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-i-kanto-al-isnuomojamas-1-kambario-butas-pilaiteje-i-4-952619/,3.0,9.0,200,1.0,1997,Blokinis,35.0,Centrinis,1997,,0,0.0,pilaiteje
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-jurgio-lebedzio-g-butas-jau-laisvas-nuomojamas-moderniai-4-950597/,5.0,5.0,399,1.0,2018,Mūrinis,22.51,Centrinis kolektorinis,2018,,1,0.0,snipiskese
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-birzelio-23-iosios-g-nauji-butai-naujamiestyje-3-kambariu-su-4-952607/,2.0,9.0,770,3.0,2019,Mūrinis,58.0,Centrinis kolektorinis,2019,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-antakalnio-g--jokiu-tarpininkavimo-mokesciu-butas-4-952597/,1.0,3.0,419,1.0,1989,Mūrinis,30.0,Centrinis,1989,,0,0.0,antakalnyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-nuomojamas-jaukus-sviesus-ir-tvarkingas-1-4-952591/,2.0,9.0,320,1.0,1979,Blokinis,33.0,Centrinis,1979,,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-skroblu-g-nuomojamas-1-k-26-kvm-butas-vilniuje-4-952581/,2.0,5.0,215,1.0,1970,Mūrinis,26.0,Centrinis,1970,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-nuomojamas-modernus-kokybiskai-irengtas-4-952577/,2.0,4.0,400,1.0,1980,Blokinis,36.0,Elektra,1980,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-nuomuojamas-jaukus-stilingas-1-kambario-4-952573/,3.0,5.0,349,1.0,1970,Blokinis,33.0,Centrinis,1970,,0,0.0,lazdynuose
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-svitrigailos-g-nuomojami-bendrabucio-tipo-kambariai-butai-4-952571/,4.0,4.0,200,1.0,1980,Mūrinis,25.0,Centrinis,1980,,1,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-jasinskio-g-kokybiskai-irengtas-2k-butas-j-jasinskio-g-4-952567/,6.0,6.0,550,2.0,2018,Mūrinis,40.0,Centrinis kolektorinis,2018,,1,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-kriviu-g-isnuomojamas-kokybiskai-irengtas-2-iu-4-952565/,3.0,3.0,650,2.0,2007,Mūrinis,74.0,"Centrinis kolektorinis, centrinis",2007,,1,0.0,uzupyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-sporto-g-nuomojamas-modernus-2-kambariu-butas-sporto-g-4-952563/,7.0,9.0,550,2.0,2005,Mūrinis,69.0,Centrinis,2005,,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-jeruzaleje-bitininku-g-naujos-statybos-name-isnuomojamas-1-kambario-4-952559/,8.0,8.0,350,1.0,2001,Mūrinis,39.0,Dujinis,2001,,1,0.0,jeruzaleje
https://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-bitininku-g-naujos-statybos-name-isnuomojamas-1-kambario-4-952367/,8.0,8.0,350,1.0,2001,Mūrinis,39.0,Dujinis,2001,,1,0.0,baltupiuose
